Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,Diamond Mango Strawberry,,9.99,Fixed,,1,,,840189905259,,,,,
,Diamond Cool Mint,,9.99,Fixed,,1,,,840189905198,,,,,
,Diamond Mango,,9.99,Fixed,,1,,,840189905150,,,,,
,Diamond Blueberry Raspberry,,9.99,Fixed,,1,,,840189904597,,,,,
,Diamond Green Apple Ice,,9.99,Fixed,,1,,,840189904535,,,,,
,Diamond Red Mojito,,9.99,Fixed,,1,,,840189904573,,,,,
,Diamond Strawberry Banana,,9.99,Fixed,,1,,,840189904634,,,,,
,Diamond Blueberry Kiwi Ice,,9.99,Fixed,,1,,,840189902142,,,,,
,Diamond Pink Lemonade,,9.99,Fixed,,1,,,840189904696,,,,,
,Diamond Sakura Grape,,9.99,Fixed,,1,,,840189904719,,,,,
,Diamond Seize,,9.99,Fixed,,1,,,193835004753,,,,,
,Diamond Cranberry Lemonade Ice,,9.99,Fixed,,1,,,840189902210,,,,,
,Diamond Love Story,,9.99,Fixed,,1,,,193835004913,,,,,
,LUX Galaxy Cool Mint,,12.99,Fixed,,1,,,193835007549,,,,,
,LUX Galaxy Peach Lemon Pie,,12.99,Fixed,,1,,,193835007426,,,,,
,LUX Light Strawberry Mango,,10.99,Fixed,,1,,,193835002865,,,,,
,LUX Galaxy Triple Shake,,12.99,Fixed,,1,,,193835003886,,,,,
,LUX Galaxy Raspberry Grapefruit,,12.99,Fixed,,1,,,193835003909,,,,,
,LUX Light Shake Shake,,10.99,Fixed,,1,,,193835002940,,,,,
,LUX Galaxy Aloe Blackcurrant,,12.99,Fixed,,1,,,193835003947,,,,,
,LUX Galaxy Coconut Grove,,12.99,Fixed,,1,,,193835003848,,,,,
,LUX Light Strawberry Kiwi,,10.99,Fixed,,1,,,193835002933,,,,,
,LUX Galaxy Guava Shake,,12.99,Fixed,,1,,,193835007570,,,,,
,LUX Galaxy Sour Apple,,12.99,Fixed,,1,,,840189904320,,,,,
,LUX Galaxy Lemon Apple Ice,,12.99,Fixed,,1,,,840189904375,,,,,
,LUX Galaxy Strawberry Ice,,11.99,Fixed,,1,,,840189904337,,,,,
,LUX Galaxy  Vitamin Water,,12.99,Fixed,,1,,,193835007501,,,,,
,LUX Galaxy Caramel Popcorn,,12.99,Fixed,,1,,,193835007464,,,,,
,LUX Galaxy Orange Shake,,12.99,Fixed,,1,,,193835007457,,,,,
,LUX Light Banana Ice,,10.99,Fixed,,1,,,193835002957,,,,,
,LUX Galaxy Red Apple,,12.99,Fixed,,1,,,840189904481,,,,,
,LUX+ Clear,,18.99,Fixed,,1,,,840189900117,,,,,
,LUX+ Strawberry Raspberry,,18.99,Fixed,,1,,,840189900209,,,,,
,LUX+ Cool Mint,,18.99,Fixed,,1,,,840189900094,,,,,
,Max Guava Shake,,16.99,Fixed,,1,,,193835005057,,,,,
,Max Energy Drink,,16.99,Fixed,,1,,,840189902630,,,,,
,Max Berries Shake,,16.99,Fixed,,1,,,193835004951,,,,,
,Diamond Watermelon Ice,,9.99,Fixed,,1,,,840189905112,,,,,
,LUX Galaxy Mix Berries,,11.99,Fixed,,1,,,193835003923,,,,,
,LUX Galaxy Blueberry Kiwi Ice,,11.99,Fixed,,1,,,193835003954,,,,,
,Diamond Blueberry Ice,,9.99,Fixed,,1,,,840189905211,,,,,
,Bannsna Ice,,10.00,Fixed,,1,,,840189905174,,,,,
,Box Watermelon Ice 2,,21.99,Fixed,,1,,,840189911373,,,,,
,Lavender Chamomile,,12.99,Fixed,,1,,,734366020036,,,,,
,Clothesline Fresh,,14.99,Fixed,,1,,,734366019504,,,,,
,Orange Lemon Splash,,12.99,Fixed,,1,,,734366037362,,,,,
,Falin Leaves,,12.99,Fixed,,1,,,734366021484,,,,,
,Apple Orchard,,12.99,Fixed,,1,,,734366038321,,,,,
,Citrus Island,,12.99,Fixed,,1,,,850030268013,,,,,
,Midnight Ice,,12.99,Fixed,,1,,,810027353450,,,,,
,Fresh Like Baby's Behind,,12.99,Fixed,,1,,,810027356970,,,,,
,Ozium,,3.99,Fixed,,1,,,812421030579,,,,,
,Herbal Infuser,,69.99,Fixed,,1,,,810008091227,,,,,
,Blunt Effects,,4.49,Fixed,,1,,,700786110008,,,,,
,Skunk Dr. Infra Red,,5.99,Fixed,,1,,,859145003359,,,,,
,Skunk Doc. After Green,,5.99,Fixed,,1,,,859145003335,,,,,
,Skunk Doc. Saffron Rain,,5.99,Fixed,,1,,,859145003328,,,,,
,Smoke Odor Hippie Love,,9.99,Fixed,,1,,,734366021125,,,,,
,Smoke Odor Orange Lemon,,9.99,Fixed,,1,,,734366036938,,,,,
,Smoke Odor Dragon Blood,,9.99,Fixed,,1,,,734366021101,,,,,
,Smoke Odor Bamboo Breeze,,9.99,Fixed,,1,,,734366014912,,,,,
,Smoke Odor Blue Serenity,,9.99,Fixed,,1,,,734366043998,,,,,
,Tajebini,,12.00,Fixed,,1,,,6291100178582,,,,,
,Lamya,,12.00,Fixed,,1,,,6291100178490,,,,,
,Al Ghadeer,,12.00,Fixed,,1,,,6291100178957,,,,,
,Creamy Vanilla Smoke Odor Candle,,14.99,Fixed,,1,,,734366037140,,,,,
,Maui Wowie Mango Smoke Odor,,14.99,Fixed,,1,,,734366037867,,,,,
,Kiwi Strawberry,,17.99,Fixed,,1,,,6972136458229,,,,,
